date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:23	4170/4170	---MCZ	200	added ('OK')	text/html	etag:W/%229a35ca03e6c8604f0bfd6fa5f70e7202%22	https://manga-jivl.vercel.app/robots.txt		(from )
15:02:24	16267/16267	---MCZ	200	added ('OK')	text/html	etag:W/%229a35ca03e6c8604f0bfd6fa5f70e7202%22	https://manga-jivl.vercel.app/	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/index.html	(from )
15:02:24	2243/2243	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc9b88bcaa414efa93b97a3e093986e6%22	https://manga-jivl.vercel.app/assets/index-U9MFb4ym.js	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/assets/index-U9MFb4ym.js	(from https://manga-jivl.vercel.app/)
15:02:26	9242/9242	---MCZ	200	added ('OK')	text/css	etag:W/%22a4e3476163dbbce43215ef5df46bd456%22	https://manga-jivl.vercel.app/assets/index-C6Zq50ZD.css	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/assets/index-C6Zq50ZD.css	(from https://manga-jivl.vercel.app/)
15:02:28	3149652/3149652	---M--	200	added ('OK')	image/png	etag:%221330edf1eb19c0192561aad4a38c5c17%22	https://manga-jivl.vercel.app/manga/01.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/manga/01.png	(from https://manga-jivl.vercel.app/)
15:02:29	2151466/2151466	---M--	200	added ('OK')	image/png	etag:%2204200034731cd44f6872b8431cf2979b%22	https://manga-jivl.vercel.app/manga/02.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/manga/02.png	(from https://manga-jivl.vercel.app/)
15:02:31	1941384/1941384	---M--	200	added ('OK')	image/png	etag:%2246bfc5d75d47824278f823e84de67e82%22	https://manga-jivl.vercel.app/manga/03.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/manga/03.png	(from https://manga-jivl.vercel.app/)
15:02:31	2748324/2748324	---M--	200	added ('OK')	image/png	etag:%226507dc68ba5f82fe4447f50c3d4ad9d8%22	https://manga-jivl.vercel.app/manga/04.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/manga/04.png	(from https://manga-jivl.vercel.app/)
15:02:31	30371/30371	---M--	200	added ('OK')	image/jpeg	etag:%22a895e27061b3c3cbf96899b2b0a7c568%22	https://manga-jivl.vercel.app/products/link+u_KV_1206_small.jpg	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/products/link+u_KV_1206_small.jpg	(from https://manga-jivl.vercel.app/)
15:02:38	1567799/1567799	---M--	200	added ('OK')	image/png	etag:%225d0f4bf2fbbbe231ecaa36e09ed4aaf0%22	https://manga-jivl.vercel.app/products/%e6%b4%97%e9%a1%94.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/products/%e6%b4%97%e9%a1%94.png	(from https://manga-jivl.vercel.app/)
15:02:38	3015168/3015168	---M--	200	added ('OK')	image/png	etag:%229ead910b74368398cde1e9dd478a5eca%22	https://manga-jivl.vercel.app/manga/05.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/manga/05.png	(from https://manga-jivl.vercel.app/)
15:02:38	3932566/3932566	---M--	200	added ('OK')	image/png	etag:%22d89dfe3da9cd1b3e6c8e8e240d9b598a%22	https://manga-jivl.vercel.app/products/%e3%82%af%e3%83%ac%e3%83%b3%e3%82%b8%e3%83%b3%e3%82%b0.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/products/%e3%82%af%e3%83%ac%e3%83%b3%e3%82%b8%e3%83%b3%e3%82%b0.png	(from https://manga-jivl.vercel.app/)
15:02:40	1448321/1448321	---M--	200	added ('OK')	image/png	etag:%22f22f8f9eb23eefd7cc994fffe10d9263%22	https://manga-jivl.vercel.app/products/%e5%8c%96%e7%b2%a7%e6%b6%b2.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/products/%e5%8c%96%e7%b2%a7%e6%b6%b2.png	(from https://manga-jivl.vercel.app/)
15:02:41	16267/16267	---MCZ	200	added ('OK')	text/html	etag:W/%229a35ca03e6c8604f0bfd6fa5f70e7202%22	https://manga-jivl.vercel.app/privacy	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/index-2.html	(from https://manga-jivl.vercel.app/)
15:02:41	1313127/1313127	---M--	200	added ('OK')	image/png	etag:%22f002f3f1ba216ba7f8e7bbc7d57152a3%22	https://manga-jivl.vercel.app/products/%e4%b9%b3%e6%b6%b2.png	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/products/%e4%b9%b3%e6%b6%b2.png	(from https://manga-jivl.vercel.app/)
15:02:42	16267/16267	---MCZ	200	added ('OK')	text/html	etag:W/%229a35ca03e6c8604f0bfd6fa5f70e7202%22	https://manga-jivl.vercel.app/terms	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/index-3.html	(from https://manga-jivl.vercel.app/)
15:02:43	16267/16267	---MCZ	200	added ('OK')	text/html	etag:W/%229a35ca03e6c8604f0bfd6fa5f70e7202%22	https://manga-jivl.vercel.app/company	/Users/kousaiyamamoto/LuzLim-Manga/manga-jivl.vercel.app/index-4.html	(from https://manga-jivl.vercel.app/)
